datetime;close;high;low;open
2018-08-09 10:00:00;209.29;209.29;208.53;208.53
2018-08-09 10:10:00;209.15;209.47;209.165;209.32
2018-08-09 10:20:00;209.52;209.57;209.1;209.13
2018-08-09 10:30:00;209.28;209.595;209.195;209.48
2018-08-09 10:40:00;209.25;209.38;209.18;209.25
2018-08-09 10:50:00;208.835;209.23;208.75;209.23
2018-08-09 11:00:00;208.41;209.21;208.4;208.875
2018-08-09 11:10:00;208.45;208.58;208.28;208.48
2018-08-09 11:20:00;208.96;208.96;208.24;208.455
2018-08-09 11:30:00;209.07;209.1;208.92;208.95
2018-08-09 11:40:00;208.83;209.28;208.77;209.06
2018-08-09 11:50:00;208.94;208.98;208.7;208.77
2018-08-09 12:00:00;209.17;209.22;208.92;208.955
2018-08-09 12:10:00;209.32;209.38;209.17;209.175
2018-08-09 12:20:00;209.22;209.35;209.2;209.33
2018-08-09 12:30:00;209.29;209.31;209.08;209.22
2018-08-09 12:40:00;209.34;209.37;209.13;209.29
2018-08-09 12:50:00;209.55;209.555;209.36;209.36
2018-08-09 13:00:00;209.505;209.56;209.45;209.56
2018-08-09 13:10:00;209.67;209.71;209.49;209.505
2018-08-09 13:20:00;209.425;209.745;209.36;209.685
2018-08-09 13:30:00;209.475;209.6;209.4;209.45
2018-08-09 13:40:00;209.51;209.61;209.44;209.465
2018-08-09 13:50:00;209.49;209.565;209.41;209.535
2018-08-09 14:00:00;209.58;209.615;209.45;209.5
2018-08-09 14:10:00;209.51;209.69;209.44;209.58
2018-08-09 14:20:00;209.64;209.63;209.535;209.535
2018-08-09 14:30:00;209.56;209.77;209.56;209.645
2018-08-09 14:40:00;209.67;209.705;209.545;209.585
2018-08-09 14:50:00;209.42;209.69;209.44;209.62
2018-08-09 15:00:00;209.46;209.54;209.415;209.415
2018-08-09 15:10:00;209.66;209.665;209.455;209.455
2018-08-09 15:20:00;209.58;209.68;209.57;209.675
2018-08-09 15:30:00;209.6;209.625;209.34;209.565
2018-08-09 15:40:00;209.26;209.64;209.23;209.59
2018-08-09 15:50:00;209.04;209.23;208.83;209.23
2018-08-09 16:00:00;208.88;208.88;208.88;208.88
2018-08-10 09:30:00;208.17;209.05;207.19;207.36
2018-08-10 09:40:00;208.63;209.1;208.06;208.16
2018-08-10 09:50:00;208.05;209.02;208.03;208.64
2018-08-10 10:00:00;208.07;208.2;207.31;208.05
2018-08-10 10:10:00;208.66;208.9;208.03099999999998;208.07
2018-08-10 10:20:00;208.49200000000002;208.77;208.38;208.68
2018-08-10 10:30:00;208.66;208.99;208.48;208.52
2018-08-10 10:40:00;208.27;208.798;207.94;208.65900000000002
2018-08-10 10:50:00;207.99;208.4;207.88;208.268
2018-08-10 11:00:00;207.95;208.27;207.85;207.98
2018-08-10 11:10:00;208.08;208.24;207.86;207.95
2018-08-10 11:20:00;208.293;208.47;208.04;208.1
2018-08-10 11:30:00;208.25;208.5;208.22;208.29
2018-08-10 11:40:00;208.17;208.33;208.05;208.253
2018-08-10 11:50:00;207.975;208.17;207.865;208.17
2018-08-10 12:00:00;207.922;208.22;207.8;207.97
2018-08-10 12:10:00;208.1;208.11;207.86;207.93
2018-08-10 12:20:00;208.078;208.17;207.94;208.1
2018-08-10 12:30:00;208.0;208.16;207.93099999999998;208.08
2018-08-10 12:40:00;207.86;208.047;207.845;208.0
2018-08-10 12:50:00;207.89;207.93099999999998;207.75;207.86
2018-08-10 13:00:00;207.865;207.94;207.81;207.9
2018-08-10 13:10:00;207.61;207.91;207.6;207.865
2018-08-10 13:20:00;207.62599999999998;207.7;207.53;207.601
2018-08-10 13:30:00;207.40900000000002;207.65;207.37;207.625
2018-08-10 13:40:00;207.0;207.985;206.89;207.41
2018-08-10 13:50:00;206.93;207.11;206.67;207.0
2018-08-10 14:00:00;207.08;207.18400000000003;206.82;206.93
2018-08-10 14:10:00;207.08;207.29;207.0;207.08
2018-08-10 14:20:00;206.753;207.13;206.68;207.09
2018-08-10 14:30:00;207.17;207.19;206.76;206.76
2018-08-10 14:40:00;207.238;207.33;206.99400000000003;207.175
2018-08-10 14:50:00;207.21599999999998;207.354;207.201;207.24
2018-08-10 15:00:00;207.23;207.31;207.04;207.22
2018-08-10 15:10:00;207.54;207.55;207.15;207.225
2018-08-10 15:20:00;207.835;207.94;207.52;207.55
2018-08-10 15:30:00;207.828;207.89;207.69;207.84
2018-08-10 15:40:00;207.69;207.83;207.17;207.824
2018-08-10 15:50:00;207.55;207.81;207.48;207.69
2018-08-16 09:30:00;210.24;210.24;210.24;210.24
2018-08-16 09:40:00;212.15099999999998;212.25;210.24;210.24
2018-08-16 09:50:00;211.78;212.15099999999998;211.78;212.15099999999998
2018-08-16 10:00:00;212.12;212.12;211.78;211.78
2018-08-16 10:10:00;212.364;212.39;212.12;212.12
2018-08-16 10:20:00;212.85;212.85;212.364;212.364
2018-08-16 10:30:00;212.97;213.19799999999998;212.85;212.85
2018-08-16 10:40:00;212.87;212.97;212.87;212.97
2018-08-16 10:50:00;212.785;212.87;212.785;212.87
2018-08-16 11:00:00;213.16;213.16;212.785;212.785
2018-08-16 11:10:00;213.465;213.465;213.16;213.16
2018-08-16 11:20:00;213.273;213.465;213.273;213.465
2018-08-16 11:30:00;213.3;213.3;213.273;213.273
2018-08-16 11:40:00;213.26;213.3;213.26;213.3
2018-08-16 11:50:00;213.13299999999998;213.26;213.13299999999998;213.26
2018-08-16 12:00:00;213.34;213.34;213.13299999999998;213.13299999999998
2018-08-16 12:10:00;213.57;213.57;213.34;213.34
2018-08-16 12:20:00;213.43;213.57;213.43;213.57
2018-08-16 12:30:00;213.17;213.43;213.17;213.43
2018-08-16 12:40:00;212.985;213.17;212.985;213.17
2018-08-16 12:50:00;213.28;213.28;212.985;212.985
2018-08-16 13:00:00;213.36;213.36;213.28;213.28
2018-08-16 13:10:00;213.16;213.36;213.16;213.36
2018-08-16 13:20:00;213.37;213.37;213.16;213.16
2018-08-16 13:30:00;213.41;213.41;213.37;213.37
2018-08-16 13:40:00;213.335;213.41;213.335;213.41
2018-08-16 13:50:00;213.3;213.335;213.3;213.335
2018-08-16 14:00:00;213.63;213.63;213.3;213.3
2018-08-16 14:10:00;213.65;213.65;213.63;213.63
2018-08-16 14:20:00;213.515;213.65;213.515;213.65
2018-08-16 14:30:00;213.32;213.515;213.32;213.515
2018-08-16 14:40:00;213.45;213.45;213.32;213.32
2018-08-16 14:50:00;213.54;213.54;213.45;213.45
2018-08-16 15:00:00;213.54;213.54;213.54;213.54
2018-08-16 15:10:00;213.58;213.58;213.54;213.54
2018-08-16 15:20:00;213.653;213.653;213.58;213.58
2018-08-16 15:30:00;213.73;213.73;213.653;213.653
2018-08-16 15:40:00;213.49;213.73;213.49;213.73
2018-08-16 15:50:00;213.01;213.49;213.01;213.49
2018-08-16 16:00:00;213.48;213.48;213.48;213.48
2018-08-17 09:30:00;214.58;214.63;213.16;213.44
2018-08-17 09:40:00;214.894;215.2;213.47;214.57
2018-08-17 09:50:00;214.68;214.957;214.31;214.9
2018-08-17 10:00:00;214.16;214.75;214.12400000000002;214.68
2018-08-17 10:10:00;214.33;214.42;213.68;214.15
2018-08-17 10:20:00;214.42;214.64;214.11;214.34
2018-08-17 10:30:00;214.74;214.903;214.38099999999997;214.43
2018-08-17 10:40:00;214.739;214.89;214.55;214.732
2018-08-17 10:50:00;215.297;215.34;214.72;214.73
2018-08-17 11:00:00;215.66;215.82;215.02;215.31
2018-08-17 11:10:00;215.87;215.87;215.53;215.67
2018-08-17 11:20:00;216.06;216.24;215.8;215.87
2018-08-17 11:30:00;216.185;216.32;215.875;216.05900000000003
2018-08-17 11:40:00;216.575;216.78;215.98;216.185
2018-08-17 11:50:00;217.3;217.68;215.98;216.58
2018-08-17 12:00:00;216.79;217.36;216.62;217.317
2018-08-17 12:10:00;216.51;217.0;216.47099999999998;216.78
2018-08-17 12:20:00;216.83599999999998;216.95;216.47;216.512
2018-08-17 12:30:00;216.305;216.86700000000002;216.218;216.83700000000002
2018-08-17 12:40:00;216.29;216.457;216.1;216.3
2018-08-17 12:50:00;216.33;216.46;216.23;216.29
2018-08-17 13:00:00;216.58;216.92;216.31;216.31
2018-08-17 13:10:00;216.39;216.64;216.331;216.58
